Url;Zestimate;Price;Rent_Zestimate;Bathrooms;Bedrooms;Living_Area;Street_Address;City;Zip;Broker_Name;Has_3D_Model;Has_Video;statusText;Pool;yearly_revenue_airbnb
https://www.zillow.com/homedetails/2651-Foxy-Flats-Rd-Joshua-Tree-CA-92252/17498298_zpid/;1016200.0;1100000;3211.0;2;3;182.83;2651 Foxy Flats Rd;Joshua Tree;92252;Compass;False;False;House for sale;True;34088.0
https://www.zillow.com/homedetails/60440-Granada-Dr-Joshua-Tree-CA-92252/17499523_zpid/;315001.0;315000;1935.0;2;3;106.28;60440 Granada Dr;Joshua Tree;92252;Joshua Tree Realty;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/61464-Melton-Trl-Joshua-Tree-CA-92252/137789108_zpid/;1380952.0;1450000;1545.0;3;3;165.83;61464 Melton Trl;Joshua Tree;92252;GARY CASMANO, BROKER;False;False;New construction;True;50878.0
https://www.zillow.com/homedetails/2838-Rice-Ave-Joshua-Tree-CA-92252/17501062_zpid/;424700.0;450000;3087.0;3;3;192.87;2838 Rice Ave;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False;50878.0
https://www.zillow.com/homedetails/6315-El-Reposo-Cir-Joshua-Tree-CA-92252/17500501_zpid/;350900.0;355000;2434.0;2;3;148.64;6315 El Reposo Cir;Joshua Tree;92252;REALTY ONE GROUP HOMELINK;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/3382-Center-Ave-Joshua-Tree-CA-92252/2060708859_zpid/;;2100000;;3;3;200.67;3382 Center Ave;Joshua Tree;92252;Power Real Estate;False;False;New construction;True;50878.0
https://www.zillow.com/homedetails/61727-Morningside-Rd-Joshua-Tree-CA-92252/17500544_zpid/;332724.0;335000;1823.0;2;3;102.56;61727 Morningside Rd;Joshua Tree;92252;BHG Desert Lifestyle Properties;True;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/7153-Olympic-Rd-Joshua-Tree-CA-92252/17499509_zpid/;573121.0;579000;1856.0;2;3;183.39;7153 Olympic Rd;Joshua Tree;92252;ALPINE REALTY;False;False;New construction;False;34088.0
https://www.zillow.com/homedetails/7037-Conejo-Ave-Joshua-Tree-CA-92252/17500112_zpid/;425274.0;430000;2499.0;2;3;174.66;7037 Conejo Ave;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/8080-Wesley-Rd-Joshua-Tree-CA-92252/17493032_zpid/;1395200.0;1495000;6627.0;3;4;195.1;8080 Wesley Rd;Joshua Tree;92252;Joshua Tree Modern;False;False;House for sale;False;75570.5
https://www.zillow.com/homedetails/885-Sungold-Ave-Joshua-Tree-CA-92252/2060845240_zpid/;;899000;;4;3;158.03;885 Sungold Ave;Joshua Tree;92252;Sharon Rose Realty, Inc.;False;False;House for sale;False;69679.38108825684
https://www.zillow.com/homedetails/4622-Avenida-La-Mirada-Trl-Joshua-Tree-CA-92252/17498572_zpid/;643025.0;650000;2437.0;2;3;190.08;4622 Avenida La Mirada Trl;Joshua Tree;92252;Joshua Tree Realty;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/61745-Pueblo-Trl-Joshua-Tree-CA-92252/82921933_zpid/;599901.0;599900;2469.0;2;4;182.18;61745 Pueblo Trl;Joshua Tree;92252;Redfin Corporation;True;False;House for sale;False;43417.0
https://www.zillow.com/homedetails/61836-Grand-View-Cir-Joshua-Tree-CA-92252/82896400_zpid/;364770.0;369000;2469.0;2;3;125.42;61836 Grand View Cir;Joshua Tree;92252;eXp Realty of California Inc.;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/6715-Torres-Ave-Joshua-Tree-CA-92252/137799409_zpid/;906511.0;925000;2643.0;2;3;143.07;6715 Torres Ave;Joshua Tree;92252;Compass;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/61426-Alta-Vista-Dr-Joshua-Tree-CA-92252/17499790_zpid/;430074.0;439999;2851.0;2;3;182.0;61426 Alta Vista Dr;Joshua Tree;92252;I Heart Real Estate, Inc.;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/6655-Cascade-Rd-Panorama-Heights-CA-92252/137803400_zpid/;858488.0;878000;2499.0;2;3;143.07;6655 Cascade Rd;Panorama Heights;92252;Joshua Tree Modern;False;False;New construction;False;34088.0
https://www.zillow.com/homedetails/60440-Alta-Mesa-Dr-Joshua-Tree-CA-92252/17499559_zpid/;584999.0;599995;1849.0;2;3;102.19;60440 Alta Mesa Dr;Joshua Tree;92252;Joshua Tree Modern;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/6828-Hill-View-Rd-Joshua-Tree-CA-92252/17500015_zpid/;292172.0;299999;2329.0;2;3;112.88;6828 Hill View Rd;Joshua Tree;92252;Joshua Tree Realty;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/61516-Valley-View-Dr-Joshua-Tree-CA-92252/17499999_zpid/;432400.0;435000;1649.0;1;3;83.24;61516 Valley View Dr;Joshua Tree;92252;eXp Realty of California Inc.;False;False;House for sale;False;24141.5
https://www.zillow.com/homedetails/62250-Campanula-St-Joshua-Tree-CA-92252/137797147_zpid/;493885.0;495000;3140.0;2;3;177.72;62250 Campanula St;Joshua Tree;92252;Equity Union;False;False;House for sale;False;34088.0
https://www.zillow.com/homedetails/4574-Avenida-Del-Sol-Joshua-Tree-CA-92252/17498611_zpid/;321428.0;325000;1808.0;1;3;98.11;4574 Avenida Del Sol;Joshua Tree;92252;Joshua Tree Modern;False;False;House for sale;False;24141.5
https://www.zillow.com/homedetails/62610-Belmont-St-Joshua-Tree-CA-92252/17500991_zpid/;903800.0;925000;3111.0;2;3;192.4;62610 Belmont St;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;True;34088.0
https://www.zillow.com/homedetails/62282-Dennis-Ave-Joshua-Tree-CA-92252/17498741_zpid/;663100.0;695000;4940.0;3;3;253.53;62282 Dennis Ave;Joshua Tree;92252;Compass;False;True;House for sale;False;50878.0
https://www.zillow.com/homedetails/60205-Latham-Trl-Joshua-Tree-CA-92252/69004514_zpid/;591369.0;599000;2300.0;2;3;147.72;60205 Latham Trl;Joshua Tree;92252;Homequest Real Estate;False;False;House for sale;True;34088.0
