;Url;Zestimate;Price;Rent_Zestimate;Bathrooms;Bedrooms;Living_Area;Street_Address;City;Zip;Broker_Name;Has_3D_Model;Has_Video;statusText;Pool
0;https://www.zillow.com/homedetails/8198-Uphill-Rd-Joshua-Tree-CA-92252/111061445_zpid/;;18000000;2435.0;4;3;5470;8198 Uphill Rd;Joshua Tree;92252;AKGRE Inc;False;False;House for sale;False
1;https://www.zillow.com/homedetails/4757-Avenida-La-Espana-Daga-Joshua-Tree-CA-92252/2068547002_zpid/;223200.0;399990;1786.0;2;3;1056;4757 Avenida La Espana Daga;Joshua Tree;92252;Champion Realty;False;False;House for sale;False
2;https://www.zillow.com/homedetails/61018-Prescott-Trl-Joshua-Tree-CA-92252/17493731_zpid/;568947.0;575000;2300.0;2;3;1577;61018 Prescott Trl;Joshua Tree;92252;BHG Desert Lifestyle Properties;True;True;House for sale;False
3;https://www.zillow.com/homedetails/61875-Anaconda-Dr-Joshua-Tree-CA-92252/17494677_zpid/;851656.0;899000;4798.0;2;3;1434;61875 Anaconda Dr;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False
4;https://www.zillow.com/homedetails/61879-Petunia-Dr-Joshua-Tree-CA-92252/17500696_zpid/;;369900;1825.0;1;3;1040;61879 Petunia Dr;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False
5;https://www.zillow.com/homedetails/7201-Demesne-Rd-Joshua-Tree-CA-92252/89163682_zpid/;388300.0;520000;2300.0;2;4;1527;7201 Demesne Rd;Joshua Tree;92252;NextHome Select Realtors;False;False;House for sale;False
6;https://www.zillow.com/homedetails/61854-Crest-Cir-Joshua-Tree-CA-92252/17500217_zpid/;392179.0;399000;1897.0;2;3;1100;61854 Crest Cir;Joshua Tree;92252;REAL BROKERAGE TECHNOLOGIES;False;False;House for sale;True
7;https://www.zillow.com/homedetails/61635-Adobe-Dr-Joshua-Tree-CA-92252/17499740_zpid/;361925.0;369000;1914.0;2;3;1026;61635 Adobe Dr;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False
8;https://www.zillow.com/homedetails/60217-Sunny-Sands-Dr-Joshua-Tree-CA-92252/79553621_zpid/;628494.0;650000;2499.0;2;3;1488;60217 Sunny Sands Dr;Joshua Tree;92252;BRAXTON REAL ESTATE;False;False;House for sale;False
9;https://www.zillow.com/homedetails/65226-Broadway-St-Joshua-Tree-CA-92252/82895006_zpid/;391519.0;399000;1844.0;2;3;1084;65226 Broadway St;Joshua Tree;92252;Coldwell Banker Roadrunner;False;False;House for sale;False
10;https://www.zillow.com/homedetails/61756-Navajo-Trl-Joshua-Tree-CA-92252/17493875_zpid/;350000.0;350000;2214.0;2;3;1756;61756 Navajo Trl;Joshua Tree;92252;Joshua Tree Realty;False;False;House for sale;False
11;https://www.zillow.com/homedetails/4741-Avenida-Del-Sol-Joshua-Tree-CA-92252/17498651_zpid/;753106.0;769000;2901.0;3;4;1871;4741 Avenida Del Sol;Joshua Tree;92252;Backbeat Homes;True;False;House for sale;True
12;https://www.zillow.com/homedetails/7835-Conejo-Ave-Joshua-Tree-CA-92252/299169777_zpid/;1138900.0;1200000;4876.0;3;3;1900;7835 Conejo Ave;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;New construction;False
13;https://www.zillow.com/homedetails/4851-Avenida-La-Manana-Joshua-Tree-CA-92252/17498700_zpid/;222420.0;224999;1853.0;2;3;1120;4851 Avenida La Manana;Joshua Tree;92252;CORCORAN GLOBAL LIVING;False;False;House for sale;False
14;https://www.zillow.com/homedetails/678-Polaris-Ave-Joshua-Tree-CA-92252/17508443_zpid/;541417.0;559900;3262.0;3;3;1949;678 Polaris Ave;Joshua Tree;92252;Yucca Valley Realty, Inc.;False;False;House for sale;False
15;https://www.zillow.com/homedetails/63973-Gold-Nugget-Ave-Joshua-Tree-CA-92252/137802153_zpid/;1505009.0;1560000;1823.0;3;3;1538;63973 Gold Nugget Ave;Joshua Tree;92252;BHG Desert Lifestyle Properties;False;False;New construction;True
16;https://www.zillow.com/homedetails/60425-Alta-Mura-Dr-Joshua-Tree-CA-92252/17499567_zpid/;484500.0;489000;2999.0;3;4;1850;60425 Alta Mura Dr;Joshua Tree;92252;REALTY ONE GROUP EMPIRE;False;False;House for sale;False
17;https://www.zillow.com/homedetails/64827-3rd-St-S-Joshua-Tree-CA-92252/17501278_zpid/;320000.0;320000;1734.0;2;3;1112;64827 3rd St S;Joshua Tree;92252;BHG Desert Lifestyle Properties;False;False;House for sale;False
18;https://www.zillow.com/homedetails/61880-Valley-View-Cir-Joshua-Tree-CA-92252/17500268_zpid/;691000.0;691000;2425.0;2;3;1909;61880 Valley View Cir;Joshua Tree;92252;Berkshire Hathaway H.S.C.P.;False;False;House for sale;True
19;https://www.zillow.com/homedetails/60184-Natoma-Trl-Joshua-Tree-CA-92252/17492899_zpid/;474600.0;475000;2268.0;1;3;1363;60184 Natoma Trl;Joshua Tree;92252;Homesmart Professionals;False;False;House for sale;False
20;https://www.zillow.com/homedetails/61415-Alta-Loma-Dr-Joshua-Tree-CA-92252/17493189_zpid/;739397.0;749000;2999.0;3;3;1957;61415 Alta Loma Dr;Joshua Tree;92252;Homesmart Professionals;False;False;House for sale;False
21;https://www.zillow.com/homedetails/62176-Highland-View-Dr-Joshua-Tree-CA-92252/17498320_zpid/;578800.0;949000;2570.0;3;3;1600;62176 Highland View Dr;Joshua Tree;92252;Sharon Rose Realty, Inc.;False;False;House for sale;True
22;https://www.zillow.com/homedetails/61970-Petunia-Dr-Joshua-Tree-CA-92252/82902960_zpid/;450000.0;450000;1829.0;2;3;1050;61970 Petunia Dr;Joshua Tree;92252;Homesmart Professionals;False;False;House for sale;False
23;https://www.zillow.com/homedetails/7736-Elwood-St-Joshua-Tree-CA-92252/69004586_zpid/;517354.0;525000;2214.0;2;3;1589;7736 Elwood St;Joshua Tree;92252;Building Joshua Tree Real Estate;False;False;House for sale;False
24;https://www.zillow.com/homedetails/2651-Foxy-Flats-Rd-Joshua-Tree-CA-92252/17498298_zpid/;1016200.0;1100000;3211.0;2;3;1968;2651 Foxy Flats Rd;Joshua Tree;92252;Compass;False;False;House for sale;True
25;https://www.zillow.com/homedetails/60440-Granada-Dr-Joshua-Tree-CA-92252/17499523_zpid/;315001.0;315000;1935.0;2;3;1144;60440 Granada Dr;Joshua Tree;92252;Joshua Tree Realty;False;False;House for sale;False
26;https://www.zillow.com/homedetails/61464-Melton-Trl-Joshua-Tree-CA-92252/137789108_zpid/;1380952.0;1450000;1545.0;3;3;1785;61464 Melton Trl;Joshua Tree;92252;GARY CASMANO, BROKER;False;False;New construction;True
27;https://www.zillow.com/homedetails/2838-Rice-Ave-Joshua-Tree-CA-92252/17501062_zpid/;424700.0;450000;3087.0;3;3;2076;2838 Rice Ave;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False
28;https://www.zillow.com/homedetails/6315-El-Reposo-Cir-Joshua-Tree-CA-92252/17500501_zpid/;350900.0;355000;2434.0;2;3;1600;6315 El Reposo Cir;Joshua Tree;92252;REALTY ONE GROUP HOMELINK;False;False;House for sale;False
29;https://www.zillow.com/homedetails/3382-Center-Ave-Joshua-Tree-CA-92252/2060708859_zpid/;;2100000;;3;3;2160;3382 Center Ave;Joshua Tree;92252;Power Real Estate;False;False;New construction;True
30;https://www.zillow.com/homedetails/61727-Morningside-Rd-Joshua-Tree-CA-92252/17500544_zpid/;332724.0;335000;1823.0;2;3;1104;61727 Morningside Rd;Joshua Tree;92252;BHG Desert Lifestyle Properties;True;False;House for sale;False
31;https://www.zillow.com/homedetails/7153-Olympic-Rd-Joshua-Tree-CA-92252/17499509_zpid/;573121.0;579000;1856.0;2;3;1974;7153 Olympic Rd;Joshua Tree;92252;ALPINE REALTY;False;False;New construction;False
32;https://www.zillow.com/homedetails/7037-Conejo-Ave-Joshua-Tree-CA-92252/17500112_zpid/;425274.0;430000;2499.0;2;3;1880;7037 Conejo Ave;Joshua Tree;92252;Cherie Miller & Assoc.;False;False;House for sale;False
33;https://www.zillow.com/homedetails/8080-Wesley-Rd-Joshua-Tree-CA-92252/17493032_zpid/;1395200.0;1495000;6627.0;3;4;2100;8080 Wesley Rd;Joshua Tree;92252;Joshua Tree Modern;False;False;House for sale;False
34;https://www.zillow.com/homedetails/885-Sungold-Ave-Joshua-Tree-CA-92252/2060845240_zpid/;;899000;;4;3;1701;885 Sungold Ave;Joshua Tree;92252;Sharon Rose Realty, Inc.;False;False;House for sale;False
35;https://www.zillow.com/homedetails/4622-Avenida-La-Mirada-Trl-Joshua-Tree-CA-92252/17498572_zpid/;643025.0;650000;2437.0;2;3;2046;4622 Avenida La Mirada Trl;Joshua Tree;92252;Joshua Tree Realty;False;False;House for sale;False
36;https://www.zillow.com/homedetails/61745-Pueblo-Trl-Joshua-Tree-CA-92252/82921933_zpid/;599901.0;599900;2469.0;2;4;1961;61745 Pueblo Trl;Joshua Tree;92252;Redfin Corporation;True;False;House for sale;False
37;https://www.zillow.com/homedetails/61836-Grand-View-Cir-Joshua-Tree-CA-92252/82896400_zpid/;364770.0;369000;2469.0;2;3;1350;61836 Grand View Cir;Joshua Tree;92252;eXp Realty of California Inc.;False;False;House for sale;False
